reported_date,testing_start_date,testing_end_date,board_IDs,school_boards,school_ID,testing_sites
2021-05-14,2021-05-15,,B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,845361,St. Peter Catholic Secondary School
2021-05-14,2021-05-21,,B66214,Renfrew County District School Board,932434,Opeongo High School
2021-05-14,2021-05-19,,B67091,Simcoe Muskoka Catholic District School Board,711098,Holy Trinity Catholic High School
2021-05-14,2021-05-18,,B66044,Thames Valley District School Board,912956,Glendale High School
2021-05-14,2021-05-21,,B66052,Toronto District School Board,951749,West Humber Collegiate Institute
2021-05-14,2021-05-15,,B66192,Upper Canada District School Board,946648,Tagwi Secondary School
2021-05-14,2021-05-16,,B66117,Upper Grand District School Board,931284,Norwell District Secondary School
2021-05-14,2021-05-20,,B66117,Upper Grand District School Board,185582,Erin Public School
2021-05-14,2021-05-15,2021-05-16,B66176,Waterloo Region District School Board,910350,Forest Heights Collegiate Institute
2021-05-14,2021-05-15,,B67130,Wellington Catholic District School Board,689661,Bishop Macdonell Catholic Secondary School
2021-05-14,2021-05-19,2021-05-20,B67075,York Catholic District School Board,849626,St Robert Catholic High School
2021-05-14,2021-05-19,2021-05-20,B66095,York Region District School Board,951714,Maple High School
2021-05-14,2021-05-19,2021-05-20,B66095,York Region District School Board,890202,Bill Hogarth Secondary School
2021-05-14,2021-05-19,2021-05-20,B66095,York Region District School Board,921661,Langstaff Secondary School
2021-05-21,2021-05-27,,B66001,Bluewater District School Board,151668,Kincardine District Senior School
2021-05-21,2021-05-22,,B67008,Bruce-Grey Catholic District School Board,776602,St Basil's Separate School
2021-05-21,2021-05-22,,B67172,Catholic District School Board of Eastern Ontario,791938,St Francis de Sales Separate School
2021-05-21,2021-05-27,,B66303,Conseil scolaire Viamonde,907588,�cole secondaire �tienne-Br�l�
2021-05-21,2021-05-26,,B66150,District School Board of Niagara,906328,E L Crossley Secondary School
2021-05-21,2021-05-22,,B67083,Dufferin-Peel Catholic District School Board,706957,Father Michael Goetz Secondary School
2021-05-21,2021-05-23,,B67083,Dufferin-Peel Catholic District School Board,723967,St. John Henry Newman Catholic Elementary School
2021-05-21,2021-05-25,,B67105,Durham Catholic District School Board,741310,Monsignor Paul Dwyer Catholic High School
2021-05-21,2021-05-22,,B66060,Durham District School Board,890855,Ajax High School
2021-05-21,2021-05-26,,B66060,Durham District School Board,350508,McCaskill's Mills Public School
2021-05-21,2021-05-22,,B66028,Greater Essex County District School Board,211192,General Brock Public School
2021-05-21,2021-05-22,,B67113,Halton Catholic District School Board,689726,Bishop Paul Francis Reding Catholic Secondary School
2021-05-21,2021-05-25,,B67113,Halton Catholic District School Board,761182,Corpus Christi Catholic Secondary School
2021-05-21,2021-05-26,,B67113,Halton Catholic District School Board,704300,Holy Trinity Catholic Secondary School
2021-05-21,2021-05-22,,B66133,Halton District School Board,897353,Burlington Central High School
2021-05-21,2021-05-27,,B66133,Halton District School Board,897353,Burlington Central High School
2021-05-21,2021-05-22,,B67121,Hamilton-Wentworth Catholic District School Board,689386,Bishop Tonnos Catholic Secondary School
2021-05-21,2021-05-28,,B67121,Hamilton-Wentworth Catholic District School Board,694134,St. John Henry Newman Catholic Secondary School
2021-05-21,2021-05-25,,B66141,Hamilton-Wentworth District School Board,898848,Bernie Custis Secondary School Secondary School
2021-05-21,2021-05-22,,B67016,Huron Perth Catholic District School Board,832545,St Michael Catholic Secondary School
